server_id,stream_id,category_id,category_name,channel_name,action,source,epg_id,epg_feed,reason,feed_key,effective_feed_key,effective_epg_id,has_programmes
server_3,1389582,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 1 SD,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389599,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 2 4K,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389593,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 2 FHD,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389587,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 2 HD,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389581,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 2 SD,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389598,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 3 4K,KEEP_PANEL,panel,beINSportsMax3.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax3.qa,True
server_3,1389592,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 3 FHD,KEEP_PANEL,panel,beINSportsMax3.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax3.qa,True
server_3,1389586,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 3 HD,KEEP_PANEL,panel,beINSportsMax3.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax3.qa,True
server_3,1389580,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 3 SD,KEEP_PANEL,panel,beINSportsMax3.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax3.qa,True
server_3,1389596,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 5 4K,KEEP_PANEL,panel,beINSportsMax5.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax5.qa,True
server_3,1389590,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 5 FHD,KEEP_PANEL,panel,beINSportsMax5.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax5.qa,True
server_3,1389584,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 5 HD,KEEP_PANEL,panel,beINSportsMax5.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax5.qa,True
server_3,1389578,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 5 SD,KEEP_PANEL,panel,beINSportsMax5.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax5.qa,True
server_3,1389595,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 6 4K,KEEP_PANEL,panel,beINSportsMax6.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax6.qa,True
server_3,1389589,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 6 FHD,KEEP_PANEL,panel,beINSportsMax6.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax6.qa,True
server_3,1389583,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 6 HD,KEEP_PANEL,panel,beINSportsMax6.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax6.qa,True
server_3,1389577,1639,BEIN SPORTS MAX FM,BEIN SPORTS MAX 6 SD,KEEP_PANEL,panel,beINSportsMax6.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax6.qa,True
server_3,1389558,1640,BEIN SPORTS MAX NM,BEIN MAX 1 ˢᴰ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389564,1640,BEIN SPORTS MAX NM,BEIN MAX 1 ᴴᴰ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389570,1640,BEIN SPORTS MAX NM,BEIN MAX 1 ᶠʰᵈ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389576,1640,BEIN SPORTS MAX NM,BEIN MAX 1 ⁴ᴷ,KEEP_PANEL,panel,beINSportsMax1.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax1.qa,True
server_3,1389557,1640,BEIN SPORTS MAX NM,BEIN MAX 2 ˢᴰ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389563,1640,BEIN SPORTS MAX NM,BEIN MAX 2 ᴴᴰ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389569,1640,BEIN SPORTS MAX NM,BEIN MAX 2 ᶠʰᵈ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
server_3,1389575,1640,BEIN SPORTS MAX NM,BEIN MAX 2 ⁴ᴷ,KEEP_PANEL,panel,beINSportsMax2.qa,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSportsMax2.qa,True
