server_id,stream_id,category_id,category_name,channel_name,action,source,epg_id,epg_feed,reason,feed_key,effective_feed_key,effective_epg_id,has_programmes
server_2,161935,,,IN | AT Star Plus FHD,AUTO_EPGSHARE,epgshare,STAR.PLUS.HD.in,IN4,Exact catalog identity after safe brand/abbreviation expansion,IN4,IN4,STAR.PLUS.HD.in,True
server_2,415465,,,IN | TS Sports 18 1 FHD,AUTO_EPGSHARE,epgshare,Sports.18.-.1.in,IN1,Exact catalog identity after safe brand/abbreviation expansion,IN1,IN1,Sports.18.-.1.in,False
server_2,426402,,,IN-TM | BIGG BOSS 24X7 HD,AUTO_DUMMY,dummy,24.7.Dummy.us,DUMMY_CHANNELS,24/7 channel mapped to the appropriate continuous dummy guide,DUMMY_CHANNELS,DUMMY_CHANNELS,24.7.Dummy.us,True
server_2,427143,,,IN-TG | BIGG BOSS 24X7 FHD,AUTO_DUMMY,dummy,24.7.Dummy.us,DUMMY_CHANNELS,24/7 channel mapped to the appropriate continuous dummy guide,DUMMY_CHANNELS,DUMMY_CHANNELS,24.7.Dummy.us,True
server_2,429941,,,IN-TM | BIGG BOSS 24X7 FHD,AUTO_DUMMY,dummy,24.7.Dummy.us,DUMMY_CHANNELS,24/7 channel mapped to the appropriate continuous dummy guide,DUMMY_CHANNELS,DUMMY_CHANNELS,24.7.Dummy.us,True
server_2,430058,,,IN-TG | BIGG BOSS 24X7 HD,AUTO_DUMMY,dummy,24.7.Dummy.us,DUMMY_CHANNELS,24/7 channel mapped to the appropriate continuous dummy guide,DUMMY_CHANNELS,DUMMY_CHANNELS,24.7.Dummy.us,True
server_2,716822,,,IN-TG | BIGG BOSS 24x7 FHD,AUTO_DUMMY,dummy,24.7.Dummy.us,DUMMY_CHANNELS,24/7 channel mapped to the appropriate continuous dummy guide,DUMMY_CHANNELS,DUMMY_CHANNELS,24.7.Dummy.us,True
server_2,52056,103,SPORTS | World Sports,AF | SS Rugby HD,KEEP_PANEL,panel,SuperSportRugby.za,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,SuperSportRugby.za,True
server_2,52064,103,SPORTS | World Sports,AF | SS Cricket HD,KEEP_PANEL,panel,SuperSportCricket.za,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,SuperSportCricket.za,True
server_2,52070,103,SPORTS | World Sports,AF | SS WWE HD,KEEP_PANEL,panel,WWE.za,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,WWE.za,True
server_2,57500,103,SPORTS | World Sports,MYS | Astro Premier League FHD,KEEP_PANEL,panel,AstroPremierLeague.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,AstroPremierLeague.my,True
server_2,57501,103,SPORTS | World Sports,MYS | Astro Premier League 2 FHD,KEEP_PANEL,panel,AstroPremierLeague2.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,AstroPremierLeague2.my,True
server_2,57502,103,SPORTS | World Sports,MYS | Astro Grandstand FHD,KEEP_PANEL,panel,AstroGrandstand.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,AstroGrandstand.my,True
server_2,57503,103,SPORTS | World Sports,MYS | Astro Football FHD,KEEP_PANEL,panel,AstroFootball.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,AstroFootball.my,True
server_2,57509,103,SPORTS | World Sports,MYS | Astro Golf FHD,KEEP_PANEL,panel,GolfChannel.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,GolfChannel.my,True
server_2,57510,103,SPORTS | World Sports,MYS | W-Sport FHD,KEEP_PANEL,panel,W-Sport.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,W-Sport.my,True
server_2,57511,103,SPORTS | World Sports,MY | Astro Arena 2 HD,KEEP_PANEL,panel,AstroArena2.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,AstroArena2.my,True
server_2,57512,103,SPORTS | World Sports,MY | Astro Arena HD,KEEP_PANEL,panel,AstroArena.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,AstroArena.my,True
server_2,57514,103,SPORTS | World Sports,MYS | Astro beIN Sports FHD,KEEP_PANEL,panel,beINSports.my,server xmltv.php,Panel XMLTV contains useful current/future programme information,PANEL,PANEL,beINSports.my,True
server_2,15141,118,INR  | Gujrati,IN-GUJ | Zee 24 Kalak,AUTO_EPGSHARE,epgshare,ZEE.24.KALAK.in,IN4,Exact catalog identity after safe brand/abbreviation expansion,IN4,IN4,ZEE.24.KALAK.in,True
server_2,20020,118,INR  | Gujrati,IN-GUJ | Colors TV,AUTO_EPGSHARE,epgshare,Colors.Gujarati.in,IN1,Exact/known channel alias: Colors Gujarati,IN1,IN1,Colors.Gujarati.in,False
server_2,20639,118,INR  | Gujrati,IN-GUJ | Mantavya News,AUTO_EPGSHARE,epgshare,Mantavya.News.in,IN1,Exact catalog identity after safe brand/abbreviation expansion,IN1,IN1,Mantavya.News.in,True
server_2,20640,118,INR  | Gujrati,IN-GUJ | VTV News,AUTO_EPGSHARE,epgshare,VTV.NEWS.in,IN4,Exact catalog identity after safe brand/abbreviation expansion,IN4,IN4,VTV.NEWS.in,True
server_2,20641,118,INR  | Gujrati,IN-GUJ | TV9 Gujarati,AUTO_EPGSHARE,epgshare,TV9.GUJARATI.in,IN4,Exact catalog identity after safe brand/abbreviation expansion,IN4,IN4,TV9.GUJARATI.in,True
server_2,20642,118,INR  | Gujrati,IN-GUJ | Sandesh News,AUTO_EPGSHARE,epgshare,Sandesh.News.in,IN4,Exact catalog identity after safe brand/abbreviation expansion,IN4,IN4,Sandesh.News.in,True
