asset_id,subject_type,subject_name,person_role,local_file,asset_kind,creator,license_id,license_url,output_sha256,review_status,rights_notes
person-fallback-alka-yagnik,person,Alka Yagnik,singer,generated/people/person-fallback-alka-yagnik.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,665cf87b770132f610e649d668513a1da3bd105cd4e6a2832ce2dc273f251771,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-aman-hayer,person,Aman Hayer,singer,generated/people/person-fallback-aman-hayer.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,ff0681e16311014d4e4629dddbadfd0cc81f945c7630265364e436d06120808d,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-amar,person,Amar,singer,generated/people/person-fallback-amar.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,e4577cbaf6072887eac2ebf6553b2635c456e2db2e7a68cb7963e1b785ee0764,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-amar-noorie,person,Amar Noorie,singer,generated/people/person-fallback-amar-noorie.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,eb18480a328fcb0f1dec2205aadb10a6c57bc96ad43eb3b60298965140d74c96,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-amitabh-bachchan,person,Amitabh Bachchan,actor,generated/people/person-fallback-amitabh-bachchan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,39f14a5351c908abaef3e860da917007cef816fe6dd4b57cfed1b3f2f34a7155,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-amrish-puri,person,Amrish Puri,actor,generated/people/person-fallback-amrish-puri.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,0c653ba20bdffe6f7da9b4c366f0e7a2904ffd91cf8ee47d91bc2af709611aaa,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-amrit-maan,person,Amrit Maan,singer,generated/people/person-fallback-amrit-maan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,2fc54cf60fc7dac3b5b9e609a164ced74df9dc3dfa76ea2170f10337a4806d09,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-angrej-ali,person,Angrej Ali,singer,generated/people/person-fallback-angrej-ali.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,9c6ac801cdc130729ed3cdd643674194f2680f71524a9853ac549c3665029a7e,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-anil-kapoor,person,Anil Kapoor,actor,generated/people/person-fallback-anil-kapoor.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,34bf50ee1cc46be160de33804d67fbb1887f43471ff2085bb27d7bc939d2ac66,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-anupam-kher,person,Anupam Kher,actor,generated/people/person-fallback-anupam-kher.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,4f012d1197fb0ef19fe2294b2e5818d9e19ed248206e5138d35b598be68e96d3,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
